danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genre
0.806,0.749,1,-5.268,1,0.328,0.0838,0,0.0621,0.77,140.032,Rap
0.784,0.632,10,-6.083,0,0.347,0.156,0,0.605,0.746,124.603,Rap
0.747,0.622,11,-5.825,1,0.0838,0.176,0,0.151,0.57,159.93,Rap
0.969,0.604,4,-6.305,0,0.118,0.0922,0,0.105,0.899,126.988,Rap
0.896,0.72,0,-6.262,0,0.355,0.169,0.00E+00,0.252,0.966,140.1,Rap
0.904,0.252,5,-17.54,0,0.11,0.294,0,0.104,0.227,117.994,Rap
0.73,0.772,5,-3.883,0,0.316,0.0878,0,0.401,0.403,147.053,Rap
0.873,0.577,1,-9.151,1,0.271,0.353,0,0.111,0.956,117.089,Rap
0.838,0.609,8,-5.161,0,0.0502,0.231,0,0.0983,0.6,127.963,Rap
0.834,0.608,1,-5.176,1,0.163,0.00803,0,0.107,0.183,160.016,Rap
0.976,0.546,5,-6.854,1,0.26,0.0466,1.39E-05,0.0945,0.852,119.981,Rap
0.926,0.555,1,-8.416,1,0.105,0.00215,0.00222,0.1,0.0683,137.983,Rap
0.76,0.755,6,-4.735,0,0.19,0.0163,2.95E-06,0.0909,0.517,101.993,Rap
0.778,0.419,0,-10.313,0,0.148,0.0436,0.000123,0.132,0.167,148.065,Rap
0.971,0.368,2,-11.462,1,0.432,0.349,0,0.091,0.679,110.973,Rap
0.433,0.443,1,-10.568,0,0.0361,0.0922,2.93E-04,0.117,0.0363,79.903,Rap
0.888,0.715,8,-3.377,0,0.274,0.128,0,0.0898,0.557,120.106,Rap
0.694,0.685,6,-6.535,0,0.133,0.224,0,0.124,0.306,158.831,Rap
0.809,0.68,4,-4.883,1,0.222,0.0535,1.20E-06,0.11,0.0653,143.988,Rap
0.796,0.683,10,-5.165,0,0.277,0.0111,2.58E-06,0.126,0.737,173.852,Rap
0.874,0.656,7,-6.478,0,0.091,0.585,0,0.251,0.561,134.022,Rap
0.844,0.616,2,-10.648,1,0.128,0.262,0,0.0637,0.422,140.056,Rap
0.713,0.605,11,-7.487,1,0.107,0.497,3.46E-06,0.115,0.432,142.025,Rap
0.6,0.723,6,-4.928,0,0.158,0.109,0,0.167,0.463,149.881,Rap
0.911,0.492,6,-8.065,0,0.215,0.11,0,0.0924,0.9,144.94,Rap
0.951,0.72,6,-4.467,1,0.302,0.0406,0,0.0998,0.687,134.033,Rap
0.894,0.618,7,-4.356,0,0.129,0.0808,0.00E+00,0.558,0.379,119.1,Rap
0.88,0.763,2,-4.378,1,0.0762,0.0235,0.00E+00,0.158,0.628,140.077,Rap
0.548,0.506,4,-7.434,0,0.102,0.203,0.0001,0.0788,0.557,119.987,Rap
0.64,0.818,6,-1.999,1,0.26,0.0148,0,0.13,0.403,140.12,Rap
0.7,0.722,7,-3.558,0,0.0369,0.221,0.00E+00,0.272,0.756,90.989,Rap
0.776,0.503,1,-10.749,1,0.044,0.00342,0,0.126,0.255,129.978,Rap
0.724,0.675,2,-5.267,1,0.0867,0.0978,9.41E-06,0.351,0.325,160.048,Rap
0.703,0.717,8,-6.035,0,0.23,0.0693,0,0.285,0.417,77.016,Rap
0.626,0.776,10,-4.951,0,0.231,0.0736,0,0.217,0.468,97.934,Rap
0.711,0.838,11,-3.553,0,0.122,0.00607,0,0.0898,0.53,80.024,Rap
0.687,0.575,1,-8.169,1,0.454,0.0473,0.00E+00,0.0981,0.394,114.268,Rap
0.948,0.63,1,-7.011,1,0.219,0.00647,2.02E-05,0.0737,0.425,100.032,Rap
0.653,0.603,5,-5.697,0,0.171,0.175,0,0.18,0.551,151.016,Rap
0.694,0.697,8,-7.373,0,0.0379,0.162,0,0.0821,0.379,89.966,Rap
0.432,0.642,11,-5.408,0,0.337,0.216,0,0.156,0.726,78.379,Rap
0.8,0.658,1,-6.142,0,0.079,0.25,0,0.111,0.462,140.042,Rap
0.557,0.614,1,-8.479,0,0.25,0.71,0,0.173,0.854,83.743,Rap
0.913,0.625,10,-6.901,0,0.334,0.0168,0,0.125,0.298,126.915,Rap
0.514,0.634,1,-6.514,1,0.383,0.235,0,0.13,0.308,76.181,Rap
0.694,0.697,8,-7.373,0,0.0379,0.162,0,0.0821,0.379,89.966,Rap
0.9,0.365,10,-6.395,0,0.235,0.147,0.185,0.179,0.136,135.003,Rap
0.487,0.74,6,-4.973,1,0.0944,0.157,0,0.612,0.522,73.779,Rap
0.389,0.768,1,-4.765,1,0.256,0.038,0,0.119,0.334,90.146,Rap
0.606,0.532,4,-4.833,0,0.0777,0.00554,0,0.292,0.156,89.079,Rap
0.835,0.699,8,-5.405,0,0.277,0.00671,0,0.195,0.547,154.981,Rap
0.696,0.672,6,-5.505,0,0.0875,0.131,0,0.368,0.581,139.991,Rap
0.616,0.617,1,-8.431,1,0.52,0.128,0,0.177,0.476,175.929,Rap
0.731,0.48,1,-9.169,1,0.374,0.373,4.86E-06,0.154,0.771,89.894,Rap
0.712,0.62,8,-10.299,1,0.168,0.593,1.06E-06,0.126,0.514,180.106,Rap
0.87,0.752,4,-6.615,1,0.372,0.0352,1.10E-06,0.269,0.591,145.118,Rap
0.635,0.793,10,-4.333,0,0.0322,0.000647,0.747,0.113,0.281,77.594,Rap
0.821,0.671,9,-5.893,1,0.18,0.00843,8.50E-05,0.0972,0.494,145.953,Rap
0.823,0.703,8,-2.691,1,0.298,0.0161,1.35E-06,0.294,0.26,178.043,Rap
0.933,0.757,2,-3.212,1,0.117,0.00184,0,0.135,0.544,137.993,Rap
0.832,0.549,1,-8.259,0,0.0602,0.168,0.00E+00,0.11,0.384,140.045,Rap
0.761,0.517,5,-6.916,1,0.0927,0.114,0,0.157,0.46,147.912,Rap
0.714,0.582,5,-7.272,0,0.0808,0.0129,0,0.0774,0.338,92.819,Rap
0.676,0.82,7,-5.217,1,0.0554,0.0493,0.00E+00,0.615,0.618,152.028,Rap
0.82,0.433,1,-7.251,1,0.242,0.0203,0,0.169,0.352,150.071,Rap
0.766,0.684,11,-6.014,0,0.217,0.0912,0,0.0636,0.452,90.057,Rap
0.714,0.609,3,-7.683,0,0.17,0.194,0.00E+00,0.126,0.778,140.206,Rap
0.664,0.561,5,-7.034,1,0.154,0.503,0,0.0896,0.621,102.256,Rap
0.73,0.581,1,-8.032,0,0.44,0.314,0,0.141,0.156,123.441,Rap
0.788,0.43,10,-14.682,0,0.282,0.0372,0,0.111,0.257,100.014,Rap
0.849,0.622,6,-7.273,1,0.325,0.579,0,0.193,0.802,130.14,Rap
0.528,0.77,4,-9.256,0,0.363,0.067,3.28E-05,0.151,0.374,169.86,Rap
0.866,0.563,11,-6.964,0,0.108,0.185,0,0.0889,0.307,127.954,Rap
0.631,0.848,9,-4.839,0,0.31,0.138,0.00E+00,0.379,0.265,91.879,Rap
0.769,0.526,2,-11.128,1,0.134,0.296,0,0.0675,0.387,93.022,Rap
0.849,0.536,1,-7.307,1,0.349,0.0239,0,0.126,0.308,141.964,Rap
0.869,0.683,7,-5.063,0,0.207,0.219,0,0.0763,0.83,120.949,Rap
0.906,0.351,7,-10.18,1,0.239,0.00591,0,0.109,0.315,143.891,Rap
0.732,0.459,9,-10.524,0,0.193,0.144,0,0.0818,0.257,133.067,Rap
0.732,0.636,7,-6.162,0,0.0497,0.0847,0,0.241,0.358,138.061,Rap
0.662,0.918,10,-5.915,0,0.492,0.603,0,0.405,0.516,88.833,Rap
0.782,0.51,4,-5.724,0,0.0419,0.143,0,0.115,0.118,99.993,Rap
0.733,0.633,1,-6.055,0,0.0919,0.0687,0,0.149,0.32,97.078,Rap
0.813,0.553,10,-7.198,0,0.1,0.152,0,0.234,0.838,155.022,Rap
0.755,0.625,2,-7.702,1,0.0518,0.0362,0.00E+00,0.215,0.325,86.519,Rap
0.794,0.756,5,-7.16,0,0.136,0.11,0,0.247,0.775,123.066,Rap
0.865,0.792,4,-4.207,1,0.0677,0.168,1.46E-05,0.107,0.562,101.985,Rap
0.618,0.4,1,-9.776,1,0.0734,0.000235,0,0.738,0.133,75.047,Rap
0.76,0.507,7,-9.933,0,0.0875,0.203,1.25E-05,0.105,0.274,114.854,Rap
0.4,0.676,11,-7.118,0,0.0927,0.258,2.27E-05,0.32,0.354,170.148,Rap
0.718,0.643,8,-6.939,0,0.216,0.0876,0,0.124,0.469,156.039,Rap
0.345,0.749,5,-6.065,0,0.163,0.121,0,0.187,0.613,154.984,Rap
0.42,0.419,9,-9.189,0,0.0485,0.429,0,0.486,0.11,125.153,Rap
0.848,0.457,0,-10.118,1,0.293,0.153,0,0.115,0.227,100.018,Rap
0.813,0.57,3,-8.409,0,0.265,0.0909,0.00E+00,0.0982,0.676,109.07,Rap
0.757,0.633,1,-6.102,1,0.339,0.116,0.00E+00,0.204,0.396,143.186,Rap
0.902,0.462,7,-7.945,1,0.0979,0.19,2.15E-06,0.094,0.646,103.984,Rap
0.883,0.673,6,-8.089,0,0.3,0.057,2.80E-05,0.13,0.507,100.022,Rap
0.868,0.638,2,-7.746,1,0.0736,0.146,0.0565,0.0931,0.459,126.03,Rap
0.482,0.634,1,-7.971,0,0.0847,0.261,1.59E-06,0.204,0.714,139.046,Rap
0.801,0.442,1,-10.382,1,0.162,0.0412,0,0.0946,0.221,119.964,Rap
0.787,0.545,6,-6.226,0,0.402,0.155,0,0.178,0.236,139.837,Rap
0.861,0.666,8,-5.18,0,0.343,0.00218,0,0.272,0.853,145.041,Rap
0.913,0.391,4,-11.158,0,0.368,0.272,0,0.0666,0.713,141.05,Rap
0.779,0.642,8,-6.321,0,0.116,0.0383,0.00E+00,0.2,0.388,82.363,Rap
0.487,0.74,6,-4.973,1,0.0944,0.157,0,0.612,0.522,73.779,Rap
0.389,0.768,1,-4.765,1,0.256,0.038,0,0.119,0.334,90.146,Rap
0.758,0.574,9,-7.833,0,0.217,0.216,0,0.144,0.706,144.081,Rap
0.827,0.615,7,-5.879,1,0.222,0.0159,0.00E+00,0.307,0.221,132.996,Rap
0.839,0.502,0,-5.886,0,0.398,0.11,0,0.115,0.585,150.07,Rap
0.751,0.678,1,-5.956,0,0.357,0.189,0,0.51,0.782,154.896,Rap
0.31,0.722,7,-5.348,1,0.0813,0.287,0,0.345,0.349,86.693,Rap
0.957,0.437,11,-7.882,1,0.359,0.00402,0,0.219,0.616,130.058,Rap
0.733,0.743,2,-5.045,1,0.371,0.00494,0.00E+00,0.261,0.623,150.024,Rap
0.548,0.742,9,-5.741,1,0.0498,0.0184,0,0.153,0.31,122.007,Rap
0.44,0.671,3,-10.598,0,0.477,0.764,0,0.212,0.479,83.078,Rap
0.8,0.543,5,-9.236,1,0.0911,0.564,0,0.116,0.534,133.98,Rap
0.502,0.623,8,-8.812,1,0.44,0.609,0,0.119,0.399,75.578,Rap
0.884,0.657,6,-4.569,0,0.0977,0.00589,0,0.154,0.489,107.059,Rap
0.695,0.827,6,-5.742,0,0.282,0.179,0.00E+00,0.283,0.538,81.024,Rap
0.692,0.521,10,-8.465,0,0.33,0.301,0,0.0565,0.463,100.45,Rap
0.89,0.393,4,-10.821,0,0.267,0.331,8.81E-06,0.283,0.304,128.084,Rap
0.519,0.809,1,-6.362,1,0.556,0.388,0,0.275,0.262,146.02,Rap
0.554,0.809,1,-6.656,1,0.0857,0.0114,0,0.476,0.0961,134.042,Rap
0.79,0.47,1,-8.594,1,0.223,0.49,0,0.0884,0.53,126.992,Rap
0.667,0.508,5,-10.337,1,0.451,0.341,0,0.644,0.093,89.436,Rap
0.517,0.705,6,-8.205,0,0.364,0.0751,0,0.128,0.584,175.906,Rap
0.301,0.686,2,-8.36,1,0.0831,0.442,1.15E-04,0.121,0.276,79.036,Rap
0.716,0.485,1,-7.745,1,0.404,0.123,2.69E-05,0.604,0.26,74.132,Rap
0.596,0.783,0,-4.356,0,0.0313,0.0506,0,0.181,0.334,127.018,Rap
0.526,0.896,8,-4.708,1,0.197,0.588,0,0.37,0.745,129.313,Rap
0.509,0.787,7,-6.754,1,0.265,0.359,2.76E-05,0.26,0.507,114.449,Rap
0.838,0.505,1,-9.354,1,0.383,0.548,0.00127,0.211,0.407,110.029,Rap
0.752,0.489,1,-5.233,1,0.137,0.11,3.57E-06,0.202,0.373,108.005,Rap
0.652,0.795,11,-5.192,0,0.174,0.156,0.00E+00,0.123,0.788,135.018,Rap
0.714,0.343,10,-7.641,1,0.38,0.723,5.48E-06,0.102,0.372,72.348,Rap
0.838,0.43,1,-5.868,1,0.281,0.0498,1.59E-05,0.0977,0.126,126.981,Rap
0.614,0.543,5,-7.178,1,0.374,0.00776,3.28E-05,0.383,0.485,178.422,Rap
0.755,0.884,10,-5.296,0,0.0638,0.0208,2.97E-06,0.248,0.897,121.927,Rap
0.609,0.799,9,-6.883,1,0.24,0.33,0,0.108,0.582,157.74,Rap
0.759,0.782,11,-6.975,0,0.0741,0.000589,0,0.35,0.507,131.04,Rap
0.855,0.954,0,-1.19,0,0.264,0.529,0,0.205,0.668,114.635,Rap
0.7,0.873,4,-1.88,0,0.208,0.208,0.00E+00,0.229,0.571,84.023,Rap
0.493,0.826,9,-3.106,1,0.311,0.095,3.42E-06,0.252,0.75,112.872,Rap
0.644,0.479,4,-8.352,1,0.177,0.169,0,0.639,0.612,79.929,Rap
0.559,0.716,11,-3.964,0,0.39,0.737,0.00E+00,0.252,0.504,176.618,Rap
0.833,0.673,1,-6.981,0,0.315,0.329,0,0.136,0.753,148.019,Rap
0.896,0.471,10,-7.324,1,0.22,0.00297,3.51E-05,0.086,0.222,147.98,Rap
0.474,0.752,9,-10.677,1,0.358,0.109,0,0.0453,0.811,85.516,Rap
0.716,0.531,7,-7.355,1,0.122,0.0703,0,0.224,0.344,71.994,Rap
0.782,0.713,0,-6.576,0,0.0899,0.0619,1.25E-03,0.108,0.68,159.839,Rap
0.79,0.621,1,-7.634,1,0.275,0.333,0,0.122,0.15,118.895,Rap
0.733,0.334,1,-11.314,1,0.0811,0.327,0.00E+00,0.116,0.267,119.935,Rap
0.694,0.748,8,-6.102,1,0.265,0.515,0,0.251,0.662,142.191,Rap
0.922,0.909,10,-2.429,0,0.27,0.0281,0,0.0856,0.309,95.295,Rap
0.816,0.775,11,-3.323,1,0.234,0.16,0.00031,0.0543,0.527,93.431,Rap
0.564,0.717,10,-6.403,0,0.397,0.097,0,0.493,0.423,117.489,Rap
0.889,0.816,9,-4.67,1,0.247,0.472,0,0.204,0.777,96.056,Rap
0.712,0.562,10,-6.008,1,0.129,0.125,0,0.136,0.142,140,Rap
0.597,0.724,2,-7.764,1,0.0487,0.00268,0,0.111,0.325,110.012,Rap
0.537,0.624,11,-8.794,1,0.325,0.000175,2.20E-06,0.116,0.409,102.315,Rap
0.728,0.628,6,-8.83,0,0.319,0.351,0,0.198,0.313,94.128,Rap
0.814,0.589,10,-7.762,0,0.324,0.0145,0,0.114,0.375,149.08,Rap
0.781,0.579,10,-10.163,0,0.414,0.019,0.00E+00,0.147,0.419,132.041,Rap
0.706,0.716,7,-4.263,0,0.0768,0.115,0.00E+00,0.316,0.459,136.904,Rap
0.511,0.413,2,-10.839,1,0.0725,0.603,0,0.219,0.736,80.595,Rap
0.597,0.856,10,-7.089,0,0.0431,0.209,0.0159,0.278,0.771,131.95,Rap
0.52,0.807,2,-6.281,1,0.409,0.24,0.00257,0.199,0.628,178.012,Rap
0.546,0.651,1,-7.601,1,0.3,0.000739,0,0.235,0.646,77.878,Rap
0.892,0.548,6,-8.449,0,0.33,0.139,0,0.114,0.262,112.962,Rap
0.844,0.553,8,-7.284,0,0.356,0.156,1.32E-06,0.0816,0.511,114.939,Rap
0.616,0.818,10,-4.883,0,0.272,0.291,0.00E+00,0.141,0.559,98.274,Rap
0.555,0.803,10,-6.267,0,0.356,0.00702,0,0.444,0.236,176.205,Rap
0.647,0.8,9,-6.978,1,0.833,0.119,0,0.358,0.4,186.3,Rap
0.715,0.468,2,-7.664,0,0.147,0.0994,0,0.125,0.673,194.902,Rap
0.868,0.636,5,-5.691,0,0.0391,0.233,0.0125,0.112,0.304,109.954,Rap
0.782,0.835,10,-4.278,0,0.283,0.281,0,0.459,0.527,80.014,Rap
0.241,0.429,1,-10.901,1,0.0834,0.103,0.000336,0.272,0.0909,74.019,Rap
0.744,0.43,3,-10.604,0,0.309,0.455,2.73E-06,0.126,0.266,92.039,Rap
0.74,0.523,11,-10.753,0,0.233,0.666,0.00142,0.0968,0.235,97.063,Rap
0.864,0.671,1,-7.678,1,0.458,0.194,0,0.132,0.222,121.035,Rap
0.618,0.472,1,-8.683,1,0.31,0.371,0,0.16,0.184,180.031,Rap
0.488,0.583,3,-11.469,1,0.374,0.756,0,0.197,0.144,89.833,Rap
0.685,0.868,5,-8.458,1,0.303,0.145,0.00E+00,0.131,0.495,117.141,Rap
0.743,0.787,5,-4.863,0,0.348,0.403,0,0.0553,0.71,126.98,Rap
0.737,0.707,1,-11.113,1,0.448,0.514,0,0.393,0.561,98.121,Rap
0.642,0.791,2,-3.859,0,0.322,0.0515,0,0.119,0.331,93.015,Rap
0.567,0.72,7,-7.285,1,0.34,0.0844,0.00E+00,0.344,0.431,142.899,Rap
0.599,0.748,11,-7.714,0,0.311,0.0255,0,0.484,0.234,99.962,Rap
0.756,0.505,1,-10.862,0,0.464,0.129,0,0.163,0.185,129.97,Rap
0.508,0.513,10,-11.572,0,0.517,0.0673,1.19E-06,0.558,0.322,116.377,Rap
0.715,0.447,10,-10.523,0,0.166,0.216,0.00107,0.249,0.417,131.99,Rap
0.537,0.495,0,-10.521,0,0.0622,0.137,7.84E-06,0.109,0.206,131.673,Rap
0.698,0.415,1,-9.702,1,0.369,0.315,0,0.178,0.21,137.019,Rap
0.75,0.81,4,-9.464,0,0.0882,0.0438,0,0.0794,0.122,119.998,Rap
0.493,0.814,8,-6.755,1,0.277,0.499,0,0.104,0.303,79.769,Rap
0.685,0.713,10,-6.695,0,0.203,0.0989,0,0.262,0.691,151.973,Rap
0.808,0.534,2,-6.123,1,0.283,0.0417,0,0.136,0.354,75.5,Rap
0.947,0.602,0,-7.275,1,0.0744,0.0515,0,0.0921,0.347,103.961,Rap
0.762,0.919,9,-3.378,0,0.069,0.295,0,0.126,0.603,109.971,Rap
0.755,0.83,3,-6.494,0,0.0613,0.0916,3.81E-05,0.298,0.513,139.9,Rap
0.701,0.856,11,-5.465,1,0.219,0.239,0,0.106,0.563,83.982,Rap
0.669,0.74,10,-7.549,0,0.0354,0.0703,0,0.152,0.573,97.99,Rap
0.514,0.73,4,-8.491,0,0.387,0.474,0,0.511,0.699,167.655,Rap
0.78,0.527,8,-6.937,1,0.0402,0.0206,0.00376,0.118,0.197,112.03,Rap
0.662,0.796,1,-7.9,1,0.212,0.168,0,0.139,0.694,122.949,Rap
0.802,0.64,8,-5.506,0,0.279,0.0426,0,0.111,0.22,127.976,Rap
0.631,0.791,1,-5.776,1,0.227,0.0545,0,0.226,0.123,133.672,Rap
0.723,0.758,1,-7.303,0,0.148,0.000588,0,0.357,0.628,131.051,Rap
0.55,0.692,6,-7.438,0,0.369,0.299,6.57E-06,0.198,0.593,146.453,Rap
0.626,0.537,2,-7.344,1,0.0367,0.502,0.0835,0.111,0.259,95.948,Rap
0.613,0.843,7,-8.343,1,0.186,0.0152,0,0.0917,0.325,102.968,Rap
0.713,0.803,9,-5.311,1,0.287,0.0759,0,0.129,0.522,153.987,Rap
0.87,0.446,1,-9.818,1,0.424,0.449,0,0.16,0.684,95.518,Rap
0.568,0.905,4,-4.96,0,0.377,0.398,0.00113,0.0839,0.533,117.885,Rap
0.622,0.704,9,-5.384,0,0.0535,0.15,0.00159,0.139,0.393,97.353,Rap
0.562,0.74,8,-8.371,1,0.245,0.248,0.00E+00,0.125,0.149,125.119,Rap
0.482,0.781,11,-5.334,1,0.411,0.629,2.87E-06,0.413,0.336,57.967,Rap
0.62,0.609,8,-8.831,1,0.145,0.44,0,0.115,0.404,142.042,Rap
0.472,0.541,1,-8.513,1,0.231,0.141,1.21E-06,0.477,0.128,145.12,Rap
0.779,0.56,10,-7.564,0,0.253,0.258,0,0.241,0.421,142.032,Rap
0.548,0.829,1,-4.103,0,0.285,0.339,0,0.537,0.452,93.62,Rap
0.682,0.637,11,-5.364,0,0.35,0.475,0,0.057,0.635,170.342,Rap
0.745,0.759,0,-4.039,1,0.21,0.323,9.42E-06,0.073,0.389,138.01,Rap
0.742,0.605,3,-7.174,0,0.0662,0.87,2.30E-05,0.106,0.37,149.968,Rap
0.466,0.896,8,-2.958,1,0.248,0.668,0,0.135,0.573,118.494,Rap
0.781,0.726,5,-9.297,0,0.13,0.518,4.48E-05,0.123,0.128,110.031,Rap
0.666,0.609,2,-6.393,1,0.0509,0.1,0.000102,0.0747,0.199,93.109,Rap
0.531,0.759,11,-7.002,0,0.387,0.0706,0,0.318,0.304,175.89,Rap
0.722,0.687,0,-5.189,1,0.0556,0.00949,4.13E-03,0.0462,0.619,128.013,Rap
0.871,0.44,11,-6.25,0,0.0761,0.499,4.15E-06,0.114,0.799,137.996,Rap
0.548,0.724,7,-6.681,0,0.275,0.39,0,0.469,0.481,110.066,Rap
0.517,0.811,5,-4.526,0,0.286,0.186,0.00E+00,0.105,0.494,168.269,Rap
0.723,0.808,11,-6.32,0,0.203,0.0746,0,0.196,0.336,109.958,Rap
0.903,0.476,9,-7.744,0,0.109,0.0495,0,0.108,0.687,120.002,Rap
0.925,0.504,11,-2.98,0,0.0972,0.213,0.00E+00,0.137,0.672,130.124,Rap
0.779,0.572,6,-9.985,0,0.378,0.157,0,0.246,0.647,135.956,Rap
0.644,0.801,7,-4.55,1,0.387,0.511,8.59E-06,0.614,0.764,82.156,Rap
0.431,0.898,1,-4.233,0,0.166,0.011,1.15E-03,0.523,0.192,81.637,Rap
0.624,0.729,1,-4.747,1,0.198,0.415,0,0.135,0.334,87.948,Rap
0.665,0.558,2,-7.863,0,0.303,0.566,4.57E-06,0.219,0.37,89.953,Rap
0.672,0.434,9,-15.218,0,0.765,0.501,0.000125,0.272,0.54,129.209,Rap
0.741,0.562,4,-5.474,0,0.165,0.172,0,0.0751,0.292,180.068,Rap
0.753,0.529,11,-7.712,1,0.105,0.00427,7.17E-05,0.273,0.0537,126.965,Rap
0.907,0.591,1,-7.507,0,0.105,0.000359,2.81E-05,0.0897,0.418,149.992,Rap
0.885,0.936,1,-5.879,1,0.0894,0.148,0,0.0703,0.763,110.011,Rap
0.591,0.647,8,-7.296,1,0.207,0.624,7.18E-05,0.195,0.331,97.218,Rap
0.651,0.699,11,-6.642,0,0.183,0.103,0,0.114,0.196,101.009,Rap
0.671,0.634,8,-6.245,0,0.336,0.467,0,0.116,0.164,96.12,Rap
0.83,0.568,10,-7.246,0,0.0731,0.0858,1.02E-06,0.318,0.489,123.001,Rap
0.649,0.903,10,-4.597,0,0.401,0.239,0.00E+00,0.201,0.478,96.992,Rap
0.715,0.654,11,-5.413,0,0.181,0.193,7.04E-06,0.0878,0.425,81.94,Rap
0.626,0.628,7,-7.698,1,0.276,0.799,3.05E-06,0.229,0.465,96.838,Rap
0.638,0.523,1,-6.664,1,0.357,0.00454,0,0.0842,0.422,139.913,Rap
0.67,0.7,1,-7.893,1,0.196,0.576,5.34E-06,0.226,0.648,69.986,Rap
0.748,0.705,4,-4.547,0,0.485,0.204,0,0.246,0.483,189.891,Rap
0.746,0.798,0,-8.382,1,0.349,0.137,0,0.139,0.553,109.968,Rap
0.658,0.535,9,-8.983,0,0.0573,0.0265,0,0.2,0.419,110.684,Rap
0.678,0.562,3,-9.197,0,0.508,0.193,0.00E+00,0.104,0.566,94.241,Rap
0.8,0.585,10,-7.343,1,0.0924,0.264,0,0.153,0.779,126.058,Rap
0.568,0.619,1,-6.899,1,0.414,0.138,1.67E-06,0.11,0.293,170.115,Rap
0.706,0.557,0,-5.8,1,0.0813,0.0347,0,0.276,0.205,132.98,Rap
0.552,0.731,7,-6.873,1,0.615,0.0536,0,0.258,0.632,174.516,Rap
0.516,0.738,11,-7.209,1,0.414,0.28,0.00E+00,0.621,0.599,175.427,Rap
0.524,0.629,0,-6.147,1,0.0398,0.514,0.00E+00,0.104,0.364,84.984,Rap
0.83,0.707,4,-7.426,0,0.048,0.0445,1.87E-05,0.144,0.255,122.986,Rap
0.674,0.596,11,-8.348,0,0.195,0.495,3.38E-06,0.342,0.46,136.059,Rap
0.604,0.872,10,-4.01,0,0.288,0.0978,0,0.121,0.732,64.331,Rap
0.529,0.8,10,-7.025,1,0.166,0.155,0.00E+00,0.0858,0.356,104.058,Rap
0.496,0.785,7,-3.472,1,0.306,0.0328,0.00E+00,0.0941,0.357,170.02,Rap
0.771,0.896,4,-5.289,0,0.129,0.0275,0,0.204,0.0593,112.505,Rap
0.516,0.95,2,-2.373,1,0.205,0.0478,0,0.0675,0.219,97.542,Rap
0.64,0.841,1,-2.426,0,0.0466,0.153,0,0.0457,0.0471,121.075,Rap
0.708,0.843,7,-2.66,1,0.314,0.397,0.00E+00,0.799,0.625,148.14,Rap
0.677,0.732,1,-6.86,1,0.171,0.194,0,0.0907,0.32,110.085,Rap
0.559,0.733,10,-7.256,0,0.217,0.126,0,0.08,0.454,176.089,Rap
0.676,0.67,2,-6.715,1,0.296,0.0564,0,0.334,0.264,139.847,Rap
0.558,0.479,1,-7.238,1,0.144,0.148,0,0.112,0.129,127.791,Rap
0.746,0.853,1,-4.452,1,0.13,0.00285,0.00E+00,0.376,0.362,130.028,Rap
0.702,0.614,6,-6.503,1,0.106,0.0822,0,0.186,0.355,119.994,Rap
0.709,0.638,1,-6.919,1,0.0368,0.00624,0,0.157,0.132,119.876,Rap
0.713,0.883,7,-5.407,0,0.265,0.00588,1.97E-05,0.724,0.452,124.967,Rap
0.913,0.646,0,-6.848,1,0.0985,0.0107,0,0.33,0.611,114.965,Rap
0.446,0.84,10,-4.539,0,0.313,0.567,0,0.0967,0.433,150.686,Rap
0.704,0.778,8,-6.722,1,0.156,0.275,0,0.401,0.465,109.963,Rap
0.714,0.861,1,-6.078,1,0.189,0.268,0,0.21,0.16,135.033,Rap
0.615,0.563,2,-8.124,0,0.238,0.00734,3.35E-05,0.118,0.107,125.957,Rap
0.731,0.661,6,-6.562,0,0.376,0.145,0,0.12,0.369,87.912,Rap
0.577,0.646,0,-5.902,1,0.13,0.0913,4.18E-05,0.17,0.575,169.769,Rap
0.625,0.726,10,-7.731,0,0.155,0.00728,0,0.318,0.483,103.98,Rap
0.679,0.754,8,-6.965,1,0.186,0.323,0,0.126,0.905,86.993,Rap
0.598,0.713,6,-3.625,0,0.0326,0.0207,0.000175,0.431,0.118,91.964,Rap
0.542,0.914,0,-4.747,0,0.113,0.0161,0,0.744,0.576,153.993,Rap
0.64,0.754,1,-5.873,0,0.283,0.255,0,0.63,0.584,87.15,Rap
0.766,0.809,1,-6.123,1,0.279,0.0011,0,0.168,0.325,130.127,Rap
0.485,0.604,1,-4.591,1,0.345,0.141,0,0.0668,0.45,170.337,Rap
0.79,0.647,10,-5.983,0,0.136,0.0515,0,0.248,0.654,87.999,Rap
0.588,0.554,8,-8.406,1,0.0545,0.216,0.118,0.0619,0.496,146.133,Rap
0.76,0.524,1,-7.67,0,0.0323,0.0542,0.5,0.112,0.112,119.603,Rap
0.427,0.844,3,-4.597,0,0.427,0.578,0,0.284,0.716,85.346,Rap
0.727,0.431,2,-12.007,1,0.395,0.0111,0.0166,0.506,0.223,150.005,Rap
0.818,0.568,1,-8.327,1,0.231,0.0997,0.00E+00,0.0831,0.269,135.722,Rap
0.607,0.613,10,-14.786,0,0.292,0.789,0.00E+00,0.16,0.44,100.211,Rap
0.754,0.909,6,-3.323,0,0.23,0.138,0,0.281,0.591,126.994,Rap
0.723,0.561,1,-6.525,1,0.245,0.0285,0,0.0884,0.44,180.096,Rap
