danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genre
0.871,0.702,5,-8.025,1,0.253,0.296,0,0.0912,0.675,125.089,Rap
0.903,0.327,1,-9.727,1,0.0877,0.26,0.011,0.108,0.274,100.008,Rap
0.669,0.308,11,-10.068,1,0.029,0.883,0,0.0984,0.52,64.934,Rap
0.85,0.785,8,-4.963,0,0.345,0.0367,0.00E+00,0.155,0.718,145.063,Rap
0.649,0.453,6,-7.28,1,0.085,0.627,0,0.116,0.431,99.183,Rap
0.647,0.706,6,-6.023,0,0.137,0.264,0,0.114,0.577,153.973,Rap
0.755,0.615,4,-8.245,1,0.0454,0.00587,1.75E-06,0.109,0.039,105.955,Rap
0.732,0.75,11,-6.366,0,0.231,0.00264,0,0.109,0.401,155.096,Rap
0.769,0.787,11,-3.909,1,0.367,0.189,0,0.129,0.836,126.77,Rap
0.845,0.631,7,-8.206,0,0.216,0.188,0,0.0806,0.545,111.983,Rap
0.802,0.737,6,-4.862,0,0.0757,0.275,0,0.113,0.712,127.014,Rap
0.612,0.601,8,-7.089,1,0.164,0.168,0.00E+00,0.117,0.525,147.018,Rap
0.845,0.76,1,-6.008,0,0.362,0.209,0,0.105,0.516,101.91,Rap
0.699,0.558,11,-7.622,1,0.0603,0.462,0,0.116,0.493,79.992,Rap
0.766,0.606,9,-6.064,1,0.456,0.00266,0,0.166,0.352,160.223,Rap
0.63,0.671,6,-6.659,0,0.256,0.363,0,0.113,0.333,89.921,Rap
0.497,0.489,11,-7.724,0,0.294,0.0576,9.91E-05,0.122,0.231,171.853,Rap
0.713,0.831,1,-4.75,0,0.15,0.0168,0,0.118,0.584,173.948,Rap
0.795,0.568,5,-7.817,0,0.142,0.0541,0.00E+00,0.108,0.478,136.173,Rap
0.859,0.6,7,-4.63,0,0.301,0.071,0,0.353,0.568,123.017,Rap
0.956,0.64,1,-8.527,1,0.234,0.023,3.00E-05,0.103,0.421,102.977,Rap
0.802,0.591,8,-4.895,1,0.225,0.0104,0,0.196,0.309,139.864,Rap
0.594,0.676,2,-5.808,1,0.344,0.135,0,0.163,0.472,143.477,Rap
0.712,0.598,7,-5.368,0,0.0388,0.0546,0,0.154,0.504,130.007,Rap
0.772,0.634,10,-6.101,0,0.212,0.135,0,0.432,0.671,160.052,Rap
0.617,0.953,2,-4.162,1,0.0693,0.119,0,0.331,0.594,154.964,Rap
0.97,0.463,10,-7.259,1,0.366,0.0957,0,0.151,0.46,108.003,Rap
0.923,0.604,11,-6.671,0,0.245,0.017,0,0.272,0.826,145.062,Rap
0.802,0.82,10,-5.969,0,0.146,0.0579,0.00E+00,0.149,0.613,164.005,Rap
0.888,0.516,11,-10.228,0,0.41,0.148,0,0.106,0.606,127.803,Rap
0.792,0.743,7,-2.806,1,0.0851,0.107,0,0.183,0.742,150.024,Rap
0.908,0.621,1,-6.638,0,0.102,0.000282,5.39E-05,0.0958,0.421,150.011,Rap
0.935,0.552,10,-9.373,0,0.335,0.111,0,0.0952,0.615,99.993,Rap
0.866,0.613,0,-6.385,1,0.151,0.0293,0.00E+00,0.104,0.359,98.001,Rap
0.951,0.638,1,-5.614,1,0.308,2.06E-03,0.00E+00,0.113,0.439,123.948,Rap
0.833,0.589,9,-6.384,0,0.231,0.121,0,0.299,0.536,96.455,Rap
0.915,0.612,1,-4.535,1,0.407,9.44E-02,0,0.115,0.758,129.93,Rap
0.875,0.687,9,-5.734,1,0.387,0.236,0,0.141,0.864,109.791,Rap
0.676,0.609,2,-5.831,0,0.481,0.0706,0,0.152,0.508,142.037,Rap
0.527,0.554,3,-7.917,0,0.337,0.471,0,0.276,0.586,105.904,Rap
0.879,0.448,7,-8.57,0,0.222,0.0346,0,0.224,0.278,136.985,Rap
0.585,0.737,4,-4.121,0,0.191,0.0661,0,0.0904,0.0497,171.853,Rap
0.785,0.554,0,-6.571,1,0.0409,0.283,3.40E-06,0.116,0.144,128.047,Rap
0.733,0.678,6,-7.771,1,0.438,0.121,0,0.344,0.841,175.985,Rap
0.791,0.582,11,-7.323,0,0.286,0.0114,0.00E+00,0.35,0.443,162.991,Rap
0.759,0.73,0,-7.985,0,0.0516,0.145,3.06E-06,0.11,0.74,115.007,Rap
0.691,0.602,9,-6.807,0,0.209,0.123,0.00E+00,0.0637,0.685,151.987,Rap
0.554,0.498,9,-8.866,1,0.0685,0.23,5.98E-06,0.795,0.413,79.635,Rap
0.907,0.539,4,-7.782,1,0.36,0.0408,0,0.253,0.664,124.918,Rap
0.893,0.618,7,-4.425,0,0.112,0.0827,0,0.542,0.389,119.099,Rap
0.842,0.556,8,-6.793,1,0.442,0.159,0.00E+00,0.204,0.306,118.836,Rap
0.788,0.436,1,-9.435,1,0.364,0.0611,0,0.0979,0.341,129.847,Rap
0.883,0.808,1,-3.158,0,0.183,0.0317,0,0.207,0.805,119.012,Rap
0.563,0.624,8,-8.271,1,0.287,0.0439,0,0.111,0.337,152.068,Rap
0.585,0.909,8,-6.474,1,0.0707,0.0891,9.70E-05,0.119,0.758,93.372,Rap
0.676,0.503,8,-6.115,1,0.0971,0.137,6.36E-05,0.0981,0.196,162.85,Rap
0.629,0.692,5,-8.045,1,0.0376,0.00981,3.31E-01,0.603,0.453,162.948,Rap
0.689,0.723,0,-4.052,0,0.0836,0.0985,0,0.158,0.288,160.042,Rap
0.716,0.537,0,-7.648,0,0.0514,0.233,0,0.157,0.28,129.979,Rap
0.707,0.622,0,-6.951,1,0.031,0.0397,0,0.149,0.223,142.942,Rap
0.859,0.477,1,-6.116,1,0.428,0.00414,0,0.0819,0.153,145.979,Rap
0.487,0.789,8,-3.69,1,0.044,0.00947,4.05E-06,0.189,0.0564,150.007,Rap
0.729,0.625,4,-5.266,1,0.0315,0.194,0.00986,0.248,0.261,146.034,Rap
0.884,0.346,8,-8.228,0,0.351,0.0151,7.04E-06,0.0871,0.376,75.016,Rap
0.929,0.7,0,-5.595,0,0.0906,0.144,0,0.349,0.802,120.009,Rap
0.771,0.654,8,-6.976,0,0.298,0.055,0,0.214,0.573,155.047,Rap
0.729,0.603,6,-6.736,0,0.0666,0.0948,0,0.113,0.207,134.972,Rap
0.883,0.599,11,-5.551,1,0.248,0.0177,0,0.179,0.413,142.976,Rap
0.511,0.566,6,-7.23,0,0.2,0.349,0,0.34,0.218,83.903,Rap
0.881,0.636,7,-4.629,1,0.287,0.00606,0.00E+00,0.111,0.715,163.949,Rap
0.551,0.57,1,-7.385,0,0.351,0.28,0.00E+00,0.424,0.505,85.687,Rap
0.825,0.373,5,-5.532,0,0.108,0.163,0,0.368,0.12,77.271,Rap
0.89,0.542,10,-4.826,0,0.314,0.523,0,0.123,0.565,78.458,Rap
0.775,0.757,9,-4.139,1,0.175,0.162,0.00E+00,0.148,0.562,142.933,Rap
0.732,0.627,4,-5.693,0,0.161,0.346,0,0.261,0.332,81.481,Rap
0.585,0.641,6,-4.269,0,0.133,0.0286,0,0.316,0.266,88.284,Rap
0.945,0.65,1,-7.071,1,0.154,0.000515,0.00E+00,0.135,0.804,129.007,Rap
0.736,0.67,10,-6.702,1,0.311,0.186,0,0.114,0.845,130.032,Rap
0.731,0.734,11,-5.652,0,0.273,0.127,0.00E+00,0.268,0.625,142.983,Rap
0.772,0.879,2,-4.22,1,0.34,0.0283,2.25E-06,0.256,0.309,61.309,Rap
0.522,0.428,11,-11.332,0,0.143,0.235,2.35E-06,0.278,0.399,129.829,Rap
0.591,0.627,1,-6.117,1,0.157,0.0696,0,0.127,0.0717,175.871,Rap
0.565,0.569,6,-6.084,0,0.379,0.0352,8.81E-06,0.106,0.303,92.466,Rap
0.563,0.584,2,-6.838,0,0.203,0.157,0,0.165,0.335,167.022,Rap
0.835,0.482,8,-8.607,0,0.367,0.262,0,0.0991,0.448,143.015,Rap
0.796,0.673,6,-3.373,0,0.379,0.113,0,0.0939,0.524,163.927,Rap
0.691,0.64,0,-6.441,1,0.369,0.511,0,0.409,0.163,138.672,Rap
0.747,0.524,10,-6.807,0,0.245,0.0306,0,0.2,0.363,140.053,Rap
0.825,0.572,6,-6.067,0,0.0864,0.0079,0,0.113,0.568,141.991,Rap
0.732,0.462,5,-10.191,0,0.406,0.126,0,0.12,0.117,180.067,Rap
0.829,0.52,8,-10.34,1,0.294,0.0232,0,0.134,0.248,136.103,Rap
0.752,0.673,10,-5.792,0,0.153,0.0538,0,0.133,0.35,164.009,Rap
0.931,0.667,6,-7.043,0,0.318,0.0144,0,0.15,0.667,142.039,Rap
0.691,0.632,1,-7.598,1,0.0513,0.122,0,0.0646,0.488,169.982,Rap
0.775,0.542,0,-7.532,1,0.474,0.162,0,0.14,0.326,112.456,Rap
0.853,0.852,1,-5.063,1,0.201,0.0236,0,0.342,0.832,98.022,Rap
0.82,0.5,10,-11.1,0,0.452,0.106,0,0.183,0.729,89.09,Rap
0.889,0.455,0,-9,1,0.256,0.0216,0.00456,0.11,0.299,148.004,Rap
0.507,0.576,6,-10.001,0,0.319,0.23,0.00E+00,0.11,0.437,149.683,Rap
0.823,0.504,8,-8.65,0,0.16,0.206,0,0.417,0.481,112.985,Rap
0.804,0.725,1,-9.463,1,0.0838,0.0912,0.00E+00,0.0708,0.356,139.967,Rap
0.609,0.757,2,-5.605,1,0.119,0.299,0,0.63,0.379,128.022,Rap
0.54,0.77,1,-3.981,1,0.389,0.194,2.74E-05,0.372,0.565,159.494,Rap
0.713,0.66,10,-5.969,1,0.087,0.0887,0,0.213,0.674,74.383,Rap
0.55,0.422,5,-11.796,0,0.409,0.109,0,0.172,0.849,139.892,Rap
0.59,0.618,1,-5.756,1,0.334,0.0127,0,0.244,0.153,96.459,Rap
0.772,0.413,0,-8.193,0,0.089,0.0361,0,0.111,0.211,131.965,Rap
0.48,0.602,10,-6.335,0,0.368,0.487,0,0.0848,0.269,179.798,Rap
0.944,0.579,8,-4.961,1,0.191,0.0381,0,0.253,0.769,135.033,Rap
0.823,0.586,6,-6.606,0,0.2,0.114,0,0.193,0.347,125.971,Rap
0.8,0.564,8,-5.817,1,0.4,0.0287,1.65E-06,0.112,0.318,139.989,Rap
0.799,0.647,9,-6.553,1,0.307,0.0748,1.13E-05,0.506,0.586,142.005,Rap
0.745,0.5,8,-6.184,1,0.136,0.439,0,0.0943,0.433,76.968,Rap
0.707,0.67,7,-6.328,0,0.257,0.0813,0,0.098,0.235,163.099,Rap
0.288,0.638,4,-6.935,0,0.0779,0.133,8.16E-05,0.14,0.147,66.424,Rap
0.652,0.671,2,-5.89,1,0.0756,0.0222,0,0.107,0.274,84.008,Rap
0.914,0.415,6,-10.708,1,0.464,0.0536,0,0.131,0.646,135.03,Rap
0.961,0.457,7,-7.91,1,0.199,0.04,0,0.117,0.39,124.011,Rap
0.926,0.542,1,-5.064,1,0.293,0.135,0,0.0877,0.564,135.14,Rap
0.688,0.647,2,-7.258,1,0.19,0.00815,1.65E-05,0.095,0.195,88.834,Rap
0.859,0.563,1,-6.635,0,0.112,0.0541,0.00E+00,0.0685,0.412,119.934,Rap
0.681,0.701,9,-6.336,1,0.0767,0.106,0,0.208,0.398,139.952,Rap
0.688,0.61,11,-6.79,1,0.109,0.198,0.00154,0.114,0.201,88.995,Rap
0.877,0.656,2,-5.823,1,0.417,0.148,0,0.16,0.535,139.883,Rap
0.658,0.769,11,-5.16,0,0.279,0.245,2.15E-06,0.313,0.611,140.042,Rap
0.789,0.777,11,-5.69,0,0.132,0.0526,0,0.453,0.935,142.109,Rap
0.703,0.754,6,-7.103,0,0.136,0.0226,7.44E-04,0.201,0.57,140.101,Rap
0.871,0.715,3,-7.828,0,0.147,0.196,0.00E+00,0.14,0.378,150.955,Rap
0.929,0.563,9,-7.428,1,0.49,0.000592,0.00E+00,0.244,0.353,129.957,Rap
0.773,0.742,5,-5.453,0,0.162,0.00198,0,0.558,0.35,148.949,Rap
0.801,0.596,1,-4.72,1,0.0534,0.00301,0.00E+00,0.162,0.134,120.028,Rap
0.884,0.445,1,-10.58,0,0.418,0.222,0,0.112,0.851,125.008,Rap
0.808,0.617,10,-9.32,0,0.442,0.113,0,0.734,0.632,149.962,Rap
0.635,0.537,7,-7.895,0,0.0832,0.172,0,0.418,0.383,125.028,Rap
0.747,0.622,11,-5.825,1,0.0838,0.176,0,0.151,0.57,159.93,Rap
0.816,0.579,1,-6.097,1,0.0867,0.203,0.00E+00,0.127,0.43,120.078,Rap
0.706,0.576,1,-7.665,0,0.2,0.0199,0,0.133,0.319,149.983,Rap
0.719,0.495,5,-8.819,1,0.0898,3.87E-01,0,0.098,0.198,144.969,Rap
0.816,0.502,0,-6.02,1,0.319,0.611,0.00E+00,0.341,0.338,73.463,Rap
0.487,0.729,2,-6.815,1,0.271,0.0538,4.07E-06,0.44,0.217,91.048,Rap
0.721,0.508,7,-7.496,1,0.394,3.17E-01,0,0.153,0.457,159.911,Rap
0.799,0.66,1,-6.153,0,0.079,0.256,0.00E+00,0.111,0.471,140.04,Rap
0.659,0.614,9,-7.32,0,0.0541,0.000404,0.00E+00,0.123,0.26,119.405,Rap
0.761,0.517,5,-6.916,1,0.0927,0.114,0,0.157,0.46,147.912,Rap
